,insertion_timestamp,device_id,Soil moisture,device_name
69,2025-01-13T19:42:38.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
70,2025-01-13T19:42:39.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
71,2025-01-13T19:42:40.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
72,2025-01-13T19:42:41.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
73,2025-01-13T19:42:42.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
74,2025-01-13T19:42:43.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
75,2025-01-13T19:42:44.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
76,2025-01-13T19:42:45.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
77,2025-01-13T19:42:46.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
78,2025-01-13T19:42:47.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
79,2025-01-13T19:42:48.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
80,2025-01-13T19:42:49.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
81,2025-01-13T19:42:50.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
82,2025-01-13T19:42:51.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
83,2025-01-13T19:42:52.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
84,2025-01-13T19:42:53.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
85,2025-01-13T19:42:54.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
86,2025-01-13T19:42:55.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
87,2025-01-13T19:42:56.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
88,2025-01-13T19:42:57.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
89,2025-01-13T19:42:58.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,39,Moisture Sensor
90,2025-01-13T19:42:59.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
91,2025-01-13T19:43:00.000Z,e86e69e2-5751-4500-983a-3b82ed793cfb,40,Moisture Sensor
